Дата покупки,Код товара,Махсулот,Имейка,Таннарх,Поставщик,Коробка,Ёмкость батареи,Память,Бренд,Состояние,Цвет
8.2.26,T0303,1) 16 Pro Max,357583478838034,"1 080,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
7.2.26,T0285,1) 16 Pro,351817726315494,930,Odil Trade in mobile,,,256 GB,Apple,B/U,Space Black
6.2.26,T0229,1) 15 Pro Max,358759854423844,780,Odil Trade in mobile,,,256 GB,Apple,B/U,Black Titanium
6.2.26,T0233,1) 15 Pro Max,354773163254315,830,Odil Trade in mobile,,,512 GB,Apple,NEW,Black Titanium
6.2.26,T0177,1) 14 Pro Max,359761976201628,500,Trade-in,,,128 GB,Apple,B/U,Space Black
5.2.26,T0232,1) 15 Pro Max,350091872537571,780,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
2.2.26,T0315,1) 15 Pro,350623503192754,550,Trade-in,,,128 GB,Apple,B/U,Natural Titanium
31.1.26,T0569,1) 17 Pro Max,351372778844603,"1 580,000",Jamol aka B30,,,256 GB,,NEW,White Titanium
31.1.26,T0232,1) 15 Pro Max,358560157658478,500,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
31.1.26,T0303,1) 16 Pro Max,353324833034231,850,Trade-in,,,256 GB,Apple,B/U,Gold
31.1.26,T0520,2) Iwatch SE Gen 2,L79RTHK9F5,50,Trade-in,,,64 GB,,NEW,Midnight
28.1.26,T0586,1) 17 PRO,359637822962466,"1 480,000",Odil Trade in mobile,,,256 GB,,NEW,White
27.1.26,T0564,1) 17 pro max,351038931079185,"1 530,000",Odil Trade in mobile,,,256 GB,,B/U,Natural Titanium
27.1.26,T0229,1) 15 Pro Max,358472387459679,650,Trade-in,,,256 GB,Apple,B/U,Black Titanium
26.1.26,T0179,1) 14 Pro Max,3529944534482987,690,Odil Trade in mobile,,,128 GB,Apple,B/U,Gold
24.01.26,T0232,1) 15 Pro Max,354550165417342,760,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
20.01.26,T0535,7) Samsung S25 Ultra,351589499794888,850,Odil Trade in mobile,,,256 GB,,NEW,Natural Titanium
20.01.26,T0588,8) Watch Samsung 8 Seria,355148170312787,310,Odil Trade in mobile,,,128 GB,,NEW,Black
19.01.26,T0589,7) Samsung A56,351382276374466,375,A15 Samandar,,,256 GB,,NEW,Black
19.01.26,T0549,7) S25 Ultra,352246821069922,850,Odil Trade in mobile,,,256 GB,,B/U,Black
18.01.26,T0121,1) 13 Pro Max,355365668592312,570,Odil Trade in mobile,,,128 GB,Apple,B/U,Sierra Blue
17.01.26,T0216,1) 15 Pro,353149670701265,450,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
15.01.26,T0101,1) 13 Pro,353929796162108,460,Odil Trade in mobile,,,128 GB,Apple,B/U,Sierra Blue
15.01.26,T0586,1) 17 PRO,354637823900895,"1 510,000",Odil Trade in mobile,,,256 GB,,NEW,White
14.1.26,T0288,1) 16 Pro,352314746351708,900,Abdulloh Aka,,,256 GB,Apple,B/U,Natural Titanium
14.1.26,T0229,1) 15 Pro Max,358066143332681,800,Odil Trade in mobile,,,256 GB,Apple,B/U,Black Titanium
14.1.26,T0301,1) 16 Pro Max,353324837247599,870,Odil Trade in mobile,,,256 GB,Apple,B/U,Space Black
14.1.26,T0569,1) 17 Pro Max,354856654126652,"1 610,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
14.1.26,T0587,8) Samsung A17,353665850992713,195,Odil Trade in mobile,,,128 GB,,NEW,Blue
14.1.26,T0301,1) 16 Pro Max,352389711431859,850,Trade-in,,,256 GB,Apple,B/U,Space Black
9.1.26,T0121,1) 13 Pro Max,359978125211676,580,Odil Trade in mobile,,,128 GB,Apple,B/U,Sierra Blue
9.1.26,T0121,1) 13 Pro Max,355365668592312,400,Odil Trade in mobile,,,128 GB,Apple,B/U,Sierra Blue
8.1.26,T0076,1) 13,358293809792541,400,Odil Trade in mobile,,,128 GB,Apple,B/U,Midnight
8.1.26,T0188,1) 14 Pro Max,359761970904078,670,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
7.1.26,T0287,1) 16 Pro,354149556718762,890,Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
6.1.26,T0231,1) 15 Pro Max,359824379783939,730,Odil Trade in mobile,,,256 GB,Apple,B/U,Blue Titanium
6.1.26,T0586,1) 17 PRO,354096981650450,"1 520,000",Odil Trade in mobile,,,256 GB,,NEW,White
4.1.26,T0569,1) 17 Pro Max,354017328505256,"1 550,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
3.1.26,T0301,1) 16 Pro Max,353911403347033,"1 020,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Space Black
3.1.26,T0586,1) 17 PRO,350612763920921,"1 520,000",Odil Trade in mobile,,,256 GB,,NEW,White
2.1.26,T0569,1) 17 Pro Max,357778147679450,"1 660,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
2.1.26,T0303,1) 16 Pro Max,354760247062731,900,Trade-in,,,256 GB,Apple,B/U,Gold
31.12.25,T0559,1) 17 pro max Cosmic orange,352602316361564,"1 600,000",Odil Trade in mobile,,,256 GB,,NEW,Yellow
31.12.25,T0564,1) 17 pro max,357778140091067,"1 630,000",Odil Trade in mobile,,,256 GB,,B/U,Natural Titanium
31.12.25,T0583,1) 17,350135174646760,"1 070,000",Odil Trade in mobile,,,256 GB,,NEW,White
30.12.25,T0582,1) 17 Pro Max,356871738102320,"1 520,000",Abdulloh Aka,,,256 GB,,B/U,Blue Titanium
30.12.25,T0580,1) Xs Max,353110102696184,190,Aziz  B30,,,256 GB,,B/U,Gold
30.12.25,T0569,1) 17 Pro Max,357778143872141,"1 650,000",Jamol aka B30,,,256 GB,,NEW,White Titanium
29.12.25,T0564,1) 17 pro max,357778148144835,"1 620,000",Odil Trade in mobile,,,256 GB,,B/U,Natural Titanium
29.12.25,T0579,5) MacBook Air M4 15inch 16/256,MGFVPWX2XY,"1 150,000",Odil Trade in mobile,,,256 GB,,NEW,Starlight
29.12.25,T0118,1) 13 Pro Max,353967818574769,400,Trade-in,,,128 GB,Apple,B/U,Graphite
28.12.25,T0232,1) 15 Pro Max,359473644090462,800,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
27.12.25,T0112,1) 13 Pro,352835987688424,300,Trade-in,,,256 GB,Apple,B/U,Alphine Green
26.12.25,T0188,1) 14 Pro Max,355216224905409,470,Trade-in,,,256 GB,Apple,B/U,Deep Purple
25.12.25,T0285,1) 16 Pro,351817724614013,980,Odil Trade in mobile,,,256 GB,Apple,B/U,Space Black
25.12.25,T0569,1) 17 Pro Max,354856654960654,"1 620,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
24.12.25,T0188,1) 14 Pro Max,355281439182251,630,Feruz Aka,,,256 GB,Apple,B/U,Deep Purple
24.12.25,T0303,1) 16 Pro Max,353995652184163,940,Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
24.12.25,T0569,1) 17 Pro Max,351784392102301,"1 600,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
24.12.25,T0188,1) 14 Pro Max,355999915838688,500,Trade-in,,,256 GB,Apple,B/U,Deep Purple
22.12.25,T0559,1) 17 pro max Cosmic orange,351372774910366,"1 610,000",Odil Trade in mobile,,,256 GB,,NEW,Yellow
22.12.25,T0180,1) 14 Pro Max,353843241576939,500,Trade-in,,,128 GB,Apple,B/U,Deep Purple
22.12.25,T0542,7) S 23 Ultra,356663766534726,350,Trade-in,,,256 GB,,B/U,White
19.12.25,T0303,1) 16 Pro Max,352383732093236,950,Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
18.12.25,T0303,1) 16 Pro Max,350523892305605,980,Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
18.12.25,T0578,7) Samsung Z FOULD 5,353886780379819,480,Odil Trade in mobile,,,256 GB,,B/U,Black
18.12.25,T0232,1) 15 Pro Max,350727303454510,700,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
16.12.25,T0232,1) 15 Pro Max,356677410842608,860,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
16.12.25,T0232,1) 15 Pro Max,350814291778983,860,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
16.12.25,T0577,1) 17 Pro Max,357035754866916,"1 570,000",Odil Trade in mobile,,,256 GB,,NEW,Blue Titanium
16.12.25,T0169,1) 14 Pro,350365158326911,430,Trade-in,,,256 GB,Apple,B/U,Space Black
16.12.25,T0215,1) 15 Pro,355721795094566,550,Trade-in,,,256 GB,Apple,B/U,Blue Titanium
16.12.25,T0303,1) 16 Pro Max,354039229134002,980,Trade-in,,,256 GB,Apple,B/U,Gold
10.12.25,T0576,1) 17 Pro Max Orange,351038937376908,"2 300,000",A15 Samandar,,,1 TB,,NEW,
10.12.25,T0303,1) 16 Pro Max,358132390957636,"1 140,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
07.12.25,T0188,1) 14 Pro Max,351344352584046,600,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
07.12.25,T0065,1) 12 Pro Max,359015632967217,260,Trade-in,,,256 GB,Apple,B/U,Graphite
